Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
OGIG,1931,0,0.00,0,0.00,31.37,1931,0
BALT,1866,0,0.00,0,0.00,27.75,1866,0
XMPT,1853,0,0.00,0,0.00,21.01,1853,0
NUMV,1838,0,0.00,0,0.00,28.79,1838,0
FLIA,1824,0,0.00,0,0.00,19.63,1824,0
IBMM,1793,0,0.00,0,0.00,25.67,1793,0
SVAL,1786,0,0.00,0,0.00,26.85,1786,0
TMFM,1739,0,0.00,0,0.00,22.94,1739,0
IBMP,1736,0,0.00,0,0.00,24.99,1736,0
DAUG,1708,0,0.00,0,0.00,33.04,1708,0
IBMO,1698,0,0.00,0,0.00,25.10,1698,0
PAUG,1669,0,0.00,0,0.00,30.28,1669,0
PWS,1660,0,0.00,0,0.00,26.73,1560,100
SMDV,1658,0,0.00,0,0.00,60.74,1658,0
PBEE,1654,0,0.00,0,0.00,22.48,1654,0
FOCT,1632,0,0.00,0,0.00,36.56,1632,0
IBHC,1614,0,0.00,0,0.00,23.56,1206,408
USMF,1554,0,0.00,0,0.00,37.75,1554,0
HFGO,1542,0,0.00,0,0.00,14.86,1542,0
RTAI,1537,0,0.00,0,0.00,20.29,1537,0
GMOM,1535,0,0.00,0,0.00,27.78,1535,0
SNAV,1517,0,0.00,0,0.00,26.45,1517,0
VXZ,1508,0,0.00,0,0.00,19.08,1480,28
FJUL,1504,0,0.00,0,0.00,37.67,1504,0
UJUL,1483,0,0.00,0,0.00,28.38,1483,0
RULE,1469,0,0.00,0,0.00,19.60,1469,0
FCPI,1451,0,0.00,0,0.00,32.14,1451,0
MPRO,1400,0,0.00,0,0.00,25.72,1400,0
BUFT,1387,0,0.00,0,0.00,19.59,1387,0
GAA,1382,0,0.00,0,0.00,26.77,1382,0
TTAI,1366,0,0.00,0,0.00,26.65,1366,0
TMAT,1350,0,0.00,0,0.00,14.40,1250,100
SECT,1348,0,0.00,0,0.00,42.19,1148,200
SATO,1341,0,0.00,0,0.00,7.19,951,390
DWLD,1338,0,0.00,0,0.00,28.19,1338,0
IBMN,1338,0,0.00,0,0.00,26.24,1338,0
GSEW,1308,0,0.00,0,0.00,60.66,1308,0
IBHH,1303,0,0.00,0,0.00,22.47,1303,0
FLHY,1280,0,0.00,0,0.00,22.64,1280,0
GSST,1269,0,0.00,0,0.00,49.76,1269,0
XVV,1262,0,0.00,0,0.00,32.55,1262,0
FJAN,1220,0,0.00,0,0.00,36.26,1220,0
OEUR,1191,0,0.00,0,0.00,27.51,1191,0
IDUB,1180,0,0.00,0,0.00,19.97,1180,0
EGIS,1178,0,0.00,0,0.00,34.89,1178,0
RSBT,1149,0,0.00,0,0.00,18.05,1149,0
BAUG,1147,0,0.00,0,0.00,32.57,1147,0
BBRE,1144,0,0.00,0,0.00,84.03,1144,0
DURA,1140,0,0.00,0,0.00,31.20,1140,0
PSFJ,1100,0,0.00,0,0.00,22.95,1100,0
DFEB,1076,0,0.00,0,0.00,34.68,1076,0
BUFF,1044,0,0.00,0,0.00,37.00,1044,0
EAOA,1039,0,0.00,0,0.00,30.18,1039,0
XBTF,1038,0,0.00,0,0.00,26.14,1038,0
NURE,1030,0,0.00,0,0.00,30.99,1030,0
TSJA,1028,0,0.00,0,0.00,26.95,1028,0
GVI,1014,0,0.00,0,0.00,103.17,1014,0
GMAR,1002,0,0.00,0,0.00,31.29,1002,0
VOTE,991,0,0.00,0,0.00,50.03,991,0
FCLD,990,0,0.00,0,0.00,18.86,990,0
TSOC,962,0,0.00,0,0.00,30.15,962,0
DMAY,958,0,0.00,0,0.00,33.74,958,0
QLC,948,0,0.00,0,0.00,47.50,848,100
IGRO,939,0,0.00,0,0.00,61.32,939,0
PJUL,902,0,0.00,0,0.00,33.04,902,0
XSHD,897,0,0.00,0,0.00,15.97,896,1
EFAD,880,0,0.00,0,0.00,37.82,880,0
USEP,852,0,0.00,0,0.00,28.56,852,0
IMOM,847,0,0.00,0,0.00,25.47,847,0
QSPT,843,0,0.00,0,0.00,20.83,843,0
FDEC,827,0,0.00,0,0.00,35.06,827,0
TTAC,826,0,0.00,0,0.00,50.72,826,0
PSMJ,822,0,0.00,0,0.00,22.83,822,0
PBND,815,0,0.00,0,0.00,21.90,815,0
EMHY,813,0,0.00,0,0.00,34.61,763,50
FLDR,798,0,0.00,0,0.00,49.85,798,0
MDEV,796,0,0.00,0,0.00,20.14,796,0
ACIO,795,0,0.00,0,0.00,30.47,795,0
FCTR,777,0,0.00,0,0.00,25.63,777,0
EPRF,770,0,0.00,0,0.00,18.51,770,0
VMAT,756,0,0.00,0,0.00,26.42,756,0
LYFE,753,0,0.00,0,0.00,32.12,753,0
MSTB,730,0,0.00,0,0.00,26.60,730,0
DJUN,718,0,0.00,0,0.00,35.67,718,0
IBMQ,718,0,0.00,0,0.00,25.09,718,0
XSHQ,703,0,0.00,0,0.00,34.84,703,0
HIDE,701,0,0.00,0,0.00,23.52,701,0
BSEP,700,0,0.00,0,0.00,33.27,700,0
PAWZ,696,0,0.00,0,0.00,50.24,696,0
IQM,687,0,0.00,0,0.00,47.20,687,0
DJUL,675,0,0.00,0,0.00,33.78,675,0
JCPI,672,0,0.00,0,0.00,46.24,672,0
FAUG,663,0,0.00,0,0.00,37.55,663,0
BNOV,660,0,0.00,0,0.00,32.91,660,0
DALT,656,0,0.00,0,0.00,8.41,656,0
FDRV,653,0,0.00,0,0.00,18.30,653,0
GFEB,645,0,0.00,0,0.00,30.54,545,100
APRJ,637,0,0.00,0,0.00,24.92,637,0
ESG,623,0,0.00,0,0.00,104.78,623,0
YMAR,609,0,0.00,0,0.00,20.95,609,0
HYIN,604,0,0.00,0,0.00,17.93,604,0
BFEB,600,0,0.00,0,0.00,33.34,600,0
RESD,600,0,0.00,0,0.00,28.02,500,100
UDEC,597,0,0.00,0,0.00,29.46,597,0
FNOV,580,0,0.00,0,0.00,39.07,580,0
BDEC,579,0,0.00,0,0.00,35.12,579,0
IGLD,579,0,0.00,0,0.00,19.43,579,0
XUSP,576,0,0.00,0,0.00,27.37,576,0
VCEB,553,0,0.00,0,0.00,61.42,553,0
PEX,548,0,0.00,0,0.00,28.55,506,42
PAPR,535,0,0.00,0,0.00,30.40,535,0
DJAN,523,0,0.00,0,0.00,32.09,523,0
KJAN,520,0,0.00,0,0.00,31.65,520,0
PFEB,518,0,0.00,0,0.00,30.28,518,0
STLG,509,0,0.00,0,0.00,34.94,509,0
FLV,501,0,0.00,0,0.00,58.78,501,0
HSRT,500,0,0.00,0,0.00,38.03,500,0
MAYZ,500,0,0.00,0,0.00,24.63,500,0
SPMV,500,0,0.00,0,0.00,37.32,500,0
VFMF,498,0,0.00,0,0.00,101.12,498,0
INTL,482,0,0.00,0,0.00,21.21,462,20
WEED,482,0,0.00,0,0.00,22.29,482,0
GOVZ,478,0,0.00,0,0.00,13.02,478,0
FMAG,457,0,0.00,0,0.00,20.93,457,0
GTIP,455,0,0.00,0,0.00,49.07,455,0
XTJL,450,0,0.00,0,0.00,27.23,450,0
FFSG,449,0,0.00,0,0.00,32.11,449,0
JPIB,447,0,0.00,0,0.00,46.72,447,0
SJIM,439,0,0.00,0,0.00,24.03,439,0
IGEB,437,0,0.00,0,0.00,43.79,437,0
WLDR,431,0,0.00,0,0.00,25.25,431,0
TYA,430,0,0.00,0,0.00,15.26,430,0
BMAR,425,0,0.00,0,0.00,36.13,425,0
GLOV,415,0,0.00,0,0.00,40.49,15,400
BJAN,414,0,0.00,0,0.00,36.67,414,0
STOT,408,0,0.00,0,0.00,46.38,408,0
APRH,403,0,0.00,0,0.00,25.11,403,0
SHAG,402,0,0.00,0,0.00,46.79,402,0
XMAR,402,0,0.00,0,0.00,31.10,402,0
BMAY,400,0,0.00,0,0.00,31.00,400,0
FMIL,367,0,0.00,0,0.00,32.39,367,0
NAPR,367,0,0.00,0,0.00,41.04,367,0
DFNL,364,0,0.00,0,0.00,26.89,364,0
